meses medio medio_std minimo minimo_std maximo maximo_std variabilidad variabilidad_std
JAN 7.79669057970467 3.60960097276271 5.05012947183256 3.04242076544314 11.2721545148184 3.98406361556216 1.80673161340238 0.453104778720639
FEB 8.11357735674854 2.00109445427847 5.63964195927609 2.2484258477414 11.2179310518897 2.05483148697342 1.88034772924131 0.267604189497519
MAR NaN NaN NaN NaN NaN NaN NaN NaN
APR NaN NaN NaN NaN NaN NaN NaN NaN
MAY NaN NaN NaN NaN NaN NaN NaN NaN
JUN NaN NaN NaN NaN NaN NaN NaN NaN
JUL NaN NaN NaN NaN NaN NaN NaN NaN
AGO NaN NaN NaN NaN NaN NaN NaN NaN
SEP NaN NaN NaN NaN NaN NaN NaN NaN
OCT NaN NaN NaN NaN NaN NaN NaN NaN
NOV NaN NaN NaN NaN NaN NaN NaN NaN
DEC NaN NaN NaN NaN NaN NaN NaN NaN
ALL 7.91740935191186 3.04038309814682 5.27470565752533 2.72199280834433 11.2514979575122 3.31695675811472 1.83477584800768 0.386766719144322
